nohup: ignoring input
Setting GPU: 3
Running on: [RocmDevice(id=0)]
Ablations: ['baseline', 'no_logsumexp_init', 'fewer_inner_steps_500', 'more_inner_steps_4000', 'inner_lr_5e-2', 'inner_lr_1e-3', 'logsumexp_gamma_1', 'logsumexp_gamma_0.01', 'logsumexp_gamma_0.001', 'no_adam', 'landmarks_fps', 'landmarks_32', 'landmarks_64', 'landmarks_256', 'hidden_32_32', 'hidden_64_64', 'hidden_256_256', 'hidden_128_128_128', 'lr_1e-4', 'batch_512', 'batch_128']
Manifolds: ['T2']

======================================================================
MANIFOLD: T2
======================================================================

[T2] Ablation: baseline
[   254] loss=-2.1206 | res=3.87e-02 | grad=4.04e-01 | 1.0s
[   255] loss=-2.1903 | res=2.53e-02 | grad=5.54e-01 | 1.0s
[   256] loss=-2.2536 | res=2.36e-02 | grad=6.70e-01 | 1.0s
[   257] loss=-2.2644 | res=2.11e-02 | grad=1.75e+00 | 1.0s
[   258] loss=-2.4538 | res=2.61e-02 | grad=7.49e-01 | 1.0s
[   259] loss=-2.5694 | res=2.21e-02 | grad=5.13e-01 | 1.0s
[   260] loss=-2.2999 | res=3.27e-02 | grad=2.52e-01 | 1.0s
[   261] loss=-2.3281 | res=2.77e-02 | grad=9.71e-01 | 1.1s
[   262] loss=-2.3269 | res=1.75e-02 | grad=1.22e+00 | 1.0s
[   263] loss=-2.3670 | res=2.15e-02 | grad=9.44e-01 | 1.0s
[   264] loss=-2.3037 | res=2.04e-02 | grad=6.56e-01 | 1.0s
[   265] loss=-2.1111 | res=2.58e-02 | grad=7.99e-01 | 1.0s
[   266] loss=-2.2598 | res=2.36e-02 | grad=6.57e-01 | 1.0s
[   267] loss=-2.3987 | res=2.31e-02 | grad=1.20e+00 | 1.0s
[   268] loss=-2.3741 | res=2.47e-02 | grad=9.68e-01 | 1.0s
[   269] loss=-2.3857 | res=3.38e-02 | grad=7.12e-01 | 1.1s
[   270] loss=-2.5240 | res=2.44e-02 | grad=8.44e-01 | 1.0s
[   271] loss=-2.5513 | res=2.68e-02 | grad=1.07e+00 | 1.0s
[   272] loss=-2.1657 | res=2.53e-02 | grad=9.37e-01 | 1.0s
[   273] loss=-2.2758 | res=2.48e-02 | grad=1.19e+00 | 1.1s
[   274] loss=-2.3851 | res=2.78e-02 | grad=2.12e-01 | 1.1s
