nohup: ignoring input
Running on: [RocmDevice(id=0)]
N_RUNS = 5
RCPM_GAMMA = 1.0
LANDMARK_METHOD = random
Manifolds: S2, T2

======================================================================
DEFAULT CONFIGURATION PARAMETERS (from src/base.py)
======================================================================

[ModelConfig]
  network_type:   mlp
  hidden_dims:    (128, 128)
  n_landmarks:    128
  use_layernorm:  True
  last_scale:     0.01
  activation:     silu
  leaky_slope:    0.01
  softplus_beta:  1
  max_dist:       3.14159

[SolverConfig]
  inner_steps:      2500
  inner_lr:         0.05
  grad_clip:        None
  lr_decay:         False
  tolerance:        1e-06
  min_steps:        1000
  momentum:         0.0
  logsumexp_init:   True
  logsumexp_gamma:  0.1
  use_adam:         True
  adam_beta1:       0.9
  adam_beta2:       0.999

[TrainingConfig]
  n_steps:        1000
  batch_size:     256
  learning_rate:  0.001
  lr_decay:       False
  lr_decay_alpha: 0.05
  log_every:      1
  eval_every:     None
  eval_size:      1024
  seed:           12345

======================================================================


======================================================================
MANIFOLD: S2
======================================================================

[Ours] Running 5 independent training runs...

  --- Run 1/5 (seed=12345) ---
[   245] loss=-0.8648 | res=1.11e-04 | grad=5.43e-01 | 1.1s
[   246] loss=-0.7913 | res=3.48e-04 | grad=3.68e-01 | 1.1s
[   247] loss=-0.8180 | res=3.14e-04 | grad=3.55e-01 | 1.1s
[   248] loss=-0.8223 | res=5.50e-04 | grad=2.39e-01 | 1.1s
[   249] loss=-0.8547 | res=1.11e-04 | grad=1.75e-01 | 1.0s
[   250] loss=-0.7007 | res=1.23e-04 | grad=6.69e-01 | 1.0s
[   251] loss=-0.8463 | res=4.13e-04 | grad=2.32e-01 | 1.0s
[   252] loss=-0.7335 | res=4.48e-04 | grad=5.65e-01 | 1.0s
[   253] loss=-0.8537 | res=5.29e-04 | grad=3.38e-01 | 1.0s
[   254] loss=-0.8680 | res=3.07e-04 | grad=4.53e-01 | 1.0s
[   255] loss=-0.8175 | res=1.39e-04 | grad=8.54e-02 | 1.0s
[   256] loss=-0.8125 | res=3.70e-04 | grad=4.54e-01 | 1.0s
[   257] loss=-0.9810 | res=2.97e-04 | grad=9.25e-01 | 1.1s
[   258] loss=-0.8553 | res=5.28e-04 | grad=6.55e-01 | 1.1s
[   259] loss=-0.7689 | res=2.98e-04 | grad=3.42e-01 | 1.1s
[   260] loss=-0.8910 | res=4.97e-04 | grad=4.00e-01 | 1.1s
[   261] loss=-0.7570 | res=7.71e-04 | grad=5.42e-01 | 1.1s
[   262] loss=-0.8401 | res=5.36e-04 | grad=3.24e-01 | 1.1s
[   263] loss=-0.8180 | res=2.18e-04 | grad=4.23e-01 | 1.1s
[   264] loss=-0.7927 | res=7.67e-04 | grad=3.21e-01 | 1.1s
[   265] loss=-0.9644 | res=4.93e-05 | grad=3.52e-01 | 1.0s
[   266] loss=-0.7834 | res=7.13e-05 | grad=5.27e-01 | 1.1s
[   267] loss=-0.7348 | res=8.06e-04 | grad=6.89e-01 | 1.1s
[   268] loss=-0.8131 | res=7.31e-04 | grad=1.66e-01 | 1.1s
[   269] loss=-0.8420 | res=3.78e-04 | grad=2.62e-01 | 1.1s
[   270] loss=-0.8709 | res=3.99e-04 | grad=4.20e-01 | 1.1s
[   271] loss=-0.8834 | res=4.28e-04 | grad=6.14e-01 | 1.1s
[   272] loss=-0.8486 | res=3.82e-04 | grad=2.22e-01 | 1.1s
[   273] loss=-0.8325 | res=2.52e-04 | grad=1.94e-01 | 1.1s
[   274] loss=-0.8074 | res=3.67e-04 | grad=4.58e-01 | 1.1s
