nohup: ignoring input
Running on: [RocmDevice(id=0)]
Running experiments on: torus
Dimensions: [2, 5, 10, 20, 30, 40]
LANDMARK_METHOD = fps (candidates=4096)

======================================================================
DEFAULT CONFIGURATION PARAMETERS (from src/base.py)
======================================================================

[ModelConfig]
  network_type:   mlp
  hidden_dims:    (128, 128)
  n_landmarks:    128
  use_layernorm:  True
  last_scale:     0.01
  activation:     silu
  leaky_slope:    0.01
  softplus_beta:  1
  max_dist:       3.14159

[SolverConfig]
  inner_steps:      2500
  inner_lr:         0.05
  grad_clip:        None
  lr_decay:         False
  tolerance:        1e-06
  min_steps:        1000
  momentum:         0.0
  logsumexp_init:   True
  logsumexp_gamma:  0.1

[TrainingConfig]
  n_steps:        1000
  batch_size:     256
  learning_rate:  0.001
  lr_decay:       False
  lr_decay_alpha: 0.05
  log_every:      1
  eval_every:     None
  eval_size:      1024
  seed:           12345

======================================================================


======================================================================
RUNNING OUR METHOD ON TORUS
======================================================================

[Ours] Training on T2...
/home/sjbhatt/anaconda3/envs/rcpms-jax/lib/python3.10/site-packages/jax/_src/ops/scatter.py:92: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int64 to dtype=int32 with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
/home/sjbhatt/anaconda3/envs/rcpms-jax/lib/python3.10/site-packages/jax/_src/ops/scatter.py:92: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int64 to dtype=int32 with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
[   150] loss=-2.3592 | res=1.45e-02 | grad=1.04e+00 | 1.1s
[   151] loss=-2.2130 | res=1.66e-02 | grad=3.21e-01 | 1.1s
[   152] loss=-2.3009 | res=1.46e-02 | grad=5.57e-01 | 1.1s
[   153] loss=-2.3562 | res=1.09e-02 | grad=3.46e-01 | 1.1s
[   154] loss=-2.4546 | res=1.17e-02 | grad=3.27e-01 | 1.0s
[   155] loss=-2.2580 | res=1.13e-02 | grad=1.33e-01 | 1.0s
[   156] loss=-2.4007 | res=1.54e-02 | grad=3.16e-01 | 1.1s
[   157] loss=-2.3022 | res=1.15e-02 | grad=6.03e-01 | 1.1s
[   158] loss=-2.4088 | res=9.19e-03 | grad=1.02e+00 | 1.1s
[   159] loss=-2.2993 | res=1.77e-02 | grad=5.95e-01 | 1.1s
[   160] loss=-2.3341 | res=1.42e-02 | grad=2.39e-01 | 1.1s
[   161] loss=-2.3174 | res=1.19e-02 | grad=6.77e-01 | 1.1s
[   162] loss=-2.3584 | res=1.39e-02 | grad=5.00e-01 | 1.1s
[   163] loss=-2.3969 | res=1.49e-02 | grad=2.63e-01 | 1.1s
[   164] loss=-2.2557 | res=1.21e-02 | grad=5.64e-01 | 1.1s
[   165] loss=-2.1901 | res=1.14e-02 | grad=5.84e-01 | 1.1s
[   166] loss=-2.3274 | res=1.19e-02 | grad=3.52e-01 | 1.0s
[   167] loss=-2.3668 | res=1.47e-02 | grad=6.99e-01 | 1.1s
[   168] loss=-2.2378 | res=1.21e-02 | grad=1.91e-01 | 1.1s
[   169] loss=-2.3132 | res=1.39e-02 | grad=3.54e-01 | 1.1s
[   170] loss=-2.1016 | res=1.21e-02 | grad=5.40e-01 | 1.0s
[   171] loss=-2.0483 | res=1.64e-02 | grad=5.59e-01 | 1.1s
[   172] loss=-2.5374 | res=1.60e-02 | grad=7.57e-01 | 1.1s
[   173] loss=-2.3179 | res=1.30e-02 | grad=4.74e-01 | 1.1s
[   174] loss=-2.2768 | res=1.24e-02 | grad=5.84e-01 | 1.1s
[   175] loss=-2.3629 | res=1.60e-02 | grad=5.42e-01 | 1.1s
[   176] loss=-2.2158 | res=1.41e-02 | grad=3.28e-01 | 1.1s
[   177] loss=-2.3791 | res=1.32e-02 | grad=3.35e-01 | 1.1s
[   178] loss=-2.1472 | res=1.23e-02 | grad=3.62e-01 | 1.1s
[   179] loss=-2.3265 | res=1.39e-02 | grad=3.17e-01 | 1.1s
[   180] loss=-2.4298 | res=1.06e-02 | grad=3.36e-01 | 1.1s
[   181] loss=-2.4909 | res=1.80e-02 | grad=3.25e-01 | 1.0s
[   182] loss=-2.3284 | res=1.10e-02 | grad=5.25e-01 | 1.0s
[   183] loss=-2.2599 | res=1.66e-02 | grad=3.00e-01 | 1.1s
[   184] loss=-2.4424 | res=1.08e-02 | grad=2.93e-01 | 1.1s
[   185] loss=-2.4202 | res=1.26e-02 | grad=3.45e-01 | 1.1s
[   186] loss=-2.4665 | res=1.58e-02 | grad=2.66e-01 | 1.0s
[   187] loss=-2.2678 | res=1.23e-02 | grad=8.85e-01 | 1.1s
[   188] loss=-2.3292 | res=1.49e-02 | grad=3.16e-01 | 1.1s
[   189] loss=-2.3188 | res=1.59e-02 | grad=2.15e-01 | 1.0s
[   190] loss=-2.4546 | res=1.10e-02 | grad=3.17e-01 | 1.1s
[   191] loss=-2.3072 | res=1.58e-02 | grad=4.23e-01 | 1.1s
[   192] loss=-2.3038 | res=1.56e-02 | grad=4.42e-01 | 1.1s
[   193] loss=-2.3611 | res=1.16e-02 | grad=6.41e-01 | 1.1s
[   194] loss=-2.1952 | res=1.60e-02 | grad=3.16e-01 | 1.0s
[   195] loss=-2.3385 | res=1.53e-02 | grad=6.34e-01 | 1.1s
[   196] loss=-2.3447 | res=1.58e-02 | grad=8.24e-01 | 1.1s
[   197] loss=-2.4183 | res=1.62e-02 | grad=1.46e-01 | 1.1s
[   198] loss=-2.1910 | res=1.21e-02 | grad=8.62e-01 | 1.1s
[   199] loss=-2.3846 | res=1.43e-02 | grad=5.03e-01 | 1.1s
[   200] loss=-2.3189 | res=2.03e-02 | grad=3.42e-01 | 1.1s
[   201] loss=-2.4098 | res=1.47e-02 | grad=2.83e-01 | 1.1s
[   202] loss=-2.3778 | res=1.17e-02 | grad=3.17e-01 | 1.0s
[   203] loss=-2.1717 | res=1.62e-02 | grad=6.63e-01 | 1.1s
[   204] loss=-2.2470 | res=1.60e-02 | grad=2.35e-01 | 1.0s
[   205] loss=-2.2905 | res=1.62e-02 | grad=4.82e-01 | 1.1s
[   206] loss=-2.3769 | res=1.35e-02 | grad=5.23e-01 | 1.1s
[   207] loss=-2.2094 | res=1.15e-02 | grad=2.05e-01 | 1.1s
[   208] loss=-2.2306 | res=1.82e-02 | grad=7.35e-01 | 1.1s
[   209] loss=-2.6858 | res=1.20e-02 | grad=7.45e-01 | 1.1s
[   210] loss=-2.2003 | res=1.20e-02 | grad=3.67e-01 | 1.1s
[   211] loss=-2.2976 | res=1.57e-02 | grad=2.39e-01 | 1.1s
[   212] loss=-2.4691 | res=1.40e-02 | grad=9.11e-01 | 1.1s
[   213] loss=-2.2849 | res=1.27e-02 | grad=4.53e-01 | 1.1s
[   214] loss=-2.2207 | res=1.49e-02 | grad=8.10e-01 | 1.1s
[   215] loss=-2.4997 | res=1.43e-02 | grad=6.40e-01 | 1.1s
[   216] loss=-1.9449 | res=1.50e-02 | grad=9.47e-01 | 1.1s
[   217] loss=-2.3148 | res=1.24e-02 | grad=3.43e-01 | 1.1s
[   218] loss=-2.4897 | res=1.23e-02 | grad=3.45e-01 | 1.1s
[   219] loss=-2.2697 | res=1.14e-02 | grad=5.86e-01 | 1.1s
[   220] loss=-2.2016 | res=1.40e-02 | grad=1.05e+00 | 1.1s
[   221] loss=-2.2708 | res=1.46e-02 | grad=9.16e-01 | 1.1s
[   222] loss=-2.4607 | res=1.27e-02 | grad=8.34e-01 | 1.1s
[   223] loss=-2.1984 | res=1.77e-02 | grad=5.95e-01 | 1.1s
[   224] loss=-2.3857 | res=1.19e-02 | grad=4.61e-01 | 1.1s
[   225] loss=-2.2020 | res=1.50e-02 | grad=4.69e-01 | 1.0s
[   226] loss=-2.5046 | res=1.22e-02 | grad=1.45e+00 | 1.1s
[   227] loss=-2.3326 | res=1.45e-02 | grad=1.05e+00 | 1.1s
[   228] loss=-2.2277 | res=1.53e-02 | grad=9.80e-01 | 1.1s
[   229] loss=-2.4489 | res=1.26e-02 | grad=9.23e-01 | 1.1s
[   230] loss=-2.4271 | res=1.19e-02 | grad=6.03e-01 | 1.1s
[   231] loss=-2.1680 | res=1.28e-02 | grad=3.81e-01 | 1.1s
[   232] loss=-2.4348 | res=1.10e-02 | grad=3.45e-01 | 1.1s
[   233] loss=-2.4624 | res=1.46e-02 | grad=3.40e-01 | 1.0s
[   234] loss=-2.5252 | res=1.17e-02 | grad=5.29e-01 | 1.1s
[   235] loss=-2.4146 | res=1.50e-02 | grad=8.44e-01 | 1.1s
[   236] loss=-2.4063 | res=1.09e-02 | grad=5.22e-01 | 1.1s
[   237] loss=-2.2413 | res=1.64e-02 | grad=8.20e-01 | 1.0s
[   238] loss=-2.2254 | res=1.38e-02 | grad=6.32e-01 | 1.1s
[   239] loss=-2.2372 | res=1.50e-02 | grad=5.71e-01 | 1.1s
[   240] loss=-2.1858 | res=1.18e-02 | grad=2.96e-01 | 1.1s
[   241] loss=-2.2511 | res=1.29e-02 | grad=5.85e-01 | 1.1s
[   242] loss=-2.3600 | res=9.33e-03 | grad=2.87e-01 | 1.1s
[   243] loss=-2.4488 | res=1.16e-02 | grad=4.11e-01 | 1.1s
[   244] loss=-2.2178 | res=1.00e-02 | grad=1.03e+00 | 1.1s
