nohup: ignoring input
Setting GPU: 6
Running on: [RocmDevice(id=0)]
Ablations: ['baseline', 'no_logsumexp_init', 'fewer_inner_steps_500', 'more_inner_steps_4000', 'inner_lr_5e-2', 'inner_lr_1e-3', 'logsumexp_gamma_1', 'logsumexp_gamma_0.01', 'logsumexp_gamma_0.001', 'no_adam', 'landmarks_fps', 'landmarks_32', 'landmarks_64', 'landmarks_256', 'hidden_32_32', 'hidden_64_64', 'hidden_256_256', 'hidden_128_128_128', 'lr_1e-4', 'batch_512', 'batch_128']
Manifolds: ['S10']

======================================================================
MANIFOLD: S10
======================================================================

[S10] Ablation: baseline
[   181] loss=-0.2378 | res=9.89e-08 | grad=5.75e-01 | 1.2s
[   182] loss=-0.2009 | res=1.07e-05 | grad=8.02e-01 | 1.2s
[   183] loss=-0.1933 | res=6.59e-08 | grad=7.54e-01 | 1.2s
[   184] loss=-0.1992 | res=1.00e-05 | grad=5.70e-01 | 1.2s
[   185] loss=-0.2168 | res=5.49e-08 | grad=5.33e-01 | 1.2s
[   186] loss=-0.2036 | res=4.37e-05 | grad=5.45e-01 | 1.2s
[   187] loss=-0.2052 | res=5.64e-06 | grad=4.21e-01 | 1.2s
[   188] loss=-0.1476 | res=2.66e-06 | grad=8.47e-01 | 1.2s
[   189] loss=-0.1951 | res=2.23e-05 | grad=4.78e-01 | 1.2s
[   190] loss=-0.2227 | res=3.79e-06 | grad=9.36e-01 | 1.2s
[   191] loss=-0.2047 | res=1.80e-05 | grad=8.33e-01 | 1.2s
[   192] loss=-0.1983 | res=5.11e-06 | grad=7.73e-01 | 1.2s
[   193] loss=-0.2072 | res=6.08e-08 | grad=6.96e-01 | 1.2s
[   194] loss=-0.2040 | res=6.32e-08 | grad=5.57e-01 | 1.2s
[   195] loss=-0.1996 | res=6.12e-08 | grad=4.31e-01 | 1.2s
[   196] loss=-0.2302 | res=2.72e-05 | grad=4.95e-01 | 1.2s
[   197] loss=-0.1956 | res=6.56e-08 | grad=5.43e-01 | 1.2s
[   198] loss=-0.1895 | res=5.48e-08 | grad=7.72e-01 | 1.2s
[   199] loss=-0.2190 | res=6.96e-08 | grad=4.39e-01 | 1.2s
[   200] loss=-0.2058 | res=6.87e-08 | grad=4.94e-01 | 1.2s
[   201] loss=-0.2246 | res=6.79e-08 | grad=7.06e-01 | 1.2s
[   202] loss=-0.2040 | res=5.53e-06 | grad=4.34e-01 | 1.2s
[   203] loss=-0.2115 | res=7.59e-08 | grad=4.66e-01 | 1.2s
[   204] loss=-0.2068 | res=1.41e-05 | grad=4.47e-01 | 1.2s
[   205] loss=-0.2130 | res=4.70e-08 | grad=5.08e-01 | 1.2s
[   206] loss=-0.2139 | res=5.78e-08 | grad=4.41e-01 | 1.2s
[   207] loss=-0.1957 | res=7.70e-08 | grad=4.40e-01 | 1.2s
[   208] loss=-0.2417 | res=1.05e-05 | grad=9.95e-01 | 1.2s
[   209] loss=-0.2065 | res=7.74e-08 | grad=3.98e-01 | 1.2s
[   210] loss=-0.2113 | res=1.49e-05 | grad=5.78e-01 | 1.2s
[   211] loss=-0.1888 | res=3.82e-06 | grad=6.08e-01 | 1.2s
[   212] loss=-0.2295 | res=2.59e-07 | grad=4.37e-01 | 1.2s
[   213] loss=-0.1965 | res=3.75e-08 | grad=5.46e-01 | 1.2s
[   214] loss=-0.2173 | res=9.28e-06 | grad=3.19e-01 | 1.2s
[   215] loss=-0.2207 | res=3.96e-06 | grad=3.36e-01 | 1.2s
[   216] loss=-0.2102 | res=7.08e-08 | grad=3.73e-01 | 1.2s
[   217] loss=-0.2038 | res=5.03e-08 | grad=4.26e-01 | 1.2s
[   218] loss=-0.2146 | res=2.29e-05 | grad=4.67e-01 | 1.2s
[   219] loss=-0.1964 | res=4.88e-08 | grad=6.78e-01 | 1.2s
[   220] loss=-0.2130 | res=5.26e-08 | grad=5.46e-01 | 1.2s
[   221] loss=-0.2271 | res=7.96e-08 | grad=4.47e-01 | 1.2s
[   222] loss=-0.2304 | res=6.33e-08 | grad=5.66e-01 | 1.2s
[   223] loss=-0.2089 | res=3.86e-06 | grad=3.63e-01 | 1.2s
[   224] loss=-0.2201 | res=5.81e-08 | grad=4.84e-01 | 1.2s
[   225] loss=-0.2030 | res=7.50e-08 | grad=4.12e-01 | 1.2s
[   226] loss=-0.2377 | res=3.14e-05 | grad=4.62e-01 | 1.2s
